date,close,volume,trend,fg_index,cluster,log_return,hl_spread,momentum_3,vol_change,rolling_std_5,volatility21
2024-01-14,41732.35,28228.40894,25,60.0,3,-0.02638212870563945,1359.0,-4606.810000000005,-7890.065699999999,0.03629079593783107,0.01981444920152725
2024-01-15,42511.1,40269.89303,28,52.0,3,0.01848861088034885,1682.3799999999974,-271.63000000000466,12041.484089999998,0.037858121034062255,0.019413247327411644
2024-01-16,43137.95,45045.74589,27,64.0,3,0.014637901828299413,1528.010000000002,289.9599999999991,4775.852859999999,0.04063882684268358,0.01924439839975676
2024-01-17,42776.1,33266.21388,27,60.0,3,-0.008423584725432613,997.3099999999977,1043.75,-11779.532009999995,0.01820294508158823,0.020114830393321396
2024-01-18,41327.5,43907.51641,27,63.0,3,-0.03445139745815894,2246.720000000001,-1183.5999999999985,10641.302529999994,0.02371120599384435,0.018718256803142413
2024-01-19,41659.03,48342.74559,26,51.0,3,0.007990013891329613,1916.8600000000006,-1478.9199999999983,4435.229180000002,0.021663185115780154,0.020260561059036977
2024-01-20,41696.04,15923.99493,21,52.0,3,0.0008880084302503328,416.25999999999476,-1080.0599999999977,-32418.750659999998,0.01911673345361896,0.020284313599065656
2024-01-21,41580.33,11730.16301,18,56.0,3,-0.002778941360300473,380.4099999999962,252.83000000000175,-4193.8319200000005,0.0162766211200589,0.020197622076224116
2024-01-22,39568.02,55426.19911,26,55.0,3,-0.049606002668420156,2258.0699999999997,-2091.010000000002,43696.0361,0.025022518749036132,0.016249339097065312
2024-01-23,39897.6,57956.63351,28,50.0,3,0.008294955472882228,1621.739999999998,-1798.4400000000023,2530.4343999999983,0.024258692616564034,0.016588754689143233
2024-01-24,40084.88,39293.82861,25,48.0,3,0.004683034141144241,1070.8099999999977,-1495.4500000000044,-18662.804900000003,0.02378687574014948,0.0178291353476868
2024-01-25,39961.09,31022.11853,21,52.0,3,-0.003092975166303934,750.239999999998,393.0699999999997,-8271.710079999997,0.023492194466401838,0.017655262041007137
2024-01-26,41823.51,47384.96726,23,49.0,3,0.04555239092628425,2424.300000000003,1925.9100000000035,16362.848729999998,0.03401940019599485,0.015995950772262114
2024-01-27,42120.63,16224.41667,17,55.0,3,0.00707902280697713,805.6600000000035,2035.75,-31160.55059,0.018998524383124712,0.016558519855239352
2024-01-28,42031.06,27294.99838,16,54.0,3,-0.002128775638974226,1221.8700000000026,2069.970000000001,11070.58171,0.02011487046492703,0.016335836523868427
2024-01-29,43302.7,31542.74207,21,55.0,3,0.029806119942710457,1528.1200000000026,1479.189999999995,4247.743689999999,0.021419502942853566,0.016106142035912794
2024-01-30,42941.1,37619.24546,22,61.0,3,-0.008385579459892248,1198.3700000000026,820.4700000000012,6076.503389999998,0.0226594272561909,0.015634038540806076
2024-01-31,42580.0,39871.13688,20,60.0,3,-0.008444749797383772,1468.270000000004,548.9400000000023,2251.89142,0.01597194580394072,0.01560154850075264
2024-02-01,43082.94,35231.04664,18,63.0,3,0.011742435619609937,1400.8499999999985,-219.75999999999476,-4640.090239999998,0.01635845616019946,0.01619963927247249
